station;long;lat;date;weekday;time;visibility;relative_humidity;precipitation;wind_speed;air_temp
83967;-51.17472221;-30.05361111;21/03/2017;1;18:00;1.0;0.5;0.0;2.0;29.2
83967;-51.17472221;-30.05361111;22/03/2017;2;00:00;1.0;0.88;0.0;2.5;22.0
83967;-51.17472221;-30.05361111;22/03/2017;2;12:00;1.0;0.72;0.0;1.8;25.0
83967;-51.17472221;-30.05361111;22/03/2017;2;18:00;1.0;0.58;0.0;2.4;28.6
83967;-51.17472221;-30.05361111;23/03/2017;3;00:00;1.0;0.79;0.0;1.4;22.9
83967;-51.17472221;-30.05361111;23/03/2017;3;12:00;1.0;0.83;0.0;1.3;23.0
83967;-51.17472221;-30.05361111;23/03/2017;3;18:00;1.0;0.58;0.0;2.0;27.6
83967;-51.17472221;-30.05361111;24/03/2017;4;00:00;1.0;0.83;0.0;3.0;21.2
83967;-51.17472221;-30.05361111;24/03/2017;4;12:00;1.0;0.76;0.0;1.3;23.2
83967;-51.17472221;-30.05361111;24/03/2017;4;18:00;1.0;0.58;0.0;1.6;29.0
83967;-51.17472221;-30.05361111;25/03/2017;5;00:00;1.0;0.88;0.0;2.5;22.4
83967;-51.17472221;-30.05361111;25/03/2017;5;12:00;1.0;0.89;0.0;0.8;21.8
83967;-51.17472221;-30.05361111;25/03/2017;5;18:00;1.0;0.76;2.1;1.4;26.6
83967;-51.17472221;-30.05361111;26/03/2017;6;00:00;1.0;0.9;0.0;1.2;21.9
83967;-51.17472221;-30.05361111;26/03/2017;6;12:00;1.0;0.8;0.0;3.0;23.4
83967;-51.17472221;-30.05361111;26/03/2017;6;18:00;1.0;0.64;0.0;3.8;27.6
83967;-51.17472221;-30.05361111;27/03/2017;0;00:00;1.0;0.87;0.0;1.7;22.3
83967;-51.17472221;-30.05361111;27/03/2017;0;12:00;1.0;0.85;0.0;1.8;23.0
83967;-51.17472221;-30.05361111;27/03/2017;0;18:00;1.0;0.65;0.0;3.5;27.8
83967;-51.17472221;-30.05361111;28/03/2017;1;00:00;1.0;0.87;0.0;2.3;21.4
83967;-51.17472221;-30.05361111;28/03/2017;1;12:00;1.0;0.71;0.0;3.0;23.8
83967;-51.17472221;-30.05361111;28/03/2017;1;18:00;1.0;0.55;0.0;2.3;27.4
83967;-51.17472221;-30.05361111;29/03/2017;2;00:00;1.0;0.82;0.0;3.3;22.0
83967;-51.17472221;-30.05361111;29/03/2017;2;12:00;1.0;0.72;0.0;3.0;23.1
83967;-51.17472221;-30.05361111;29/03/2017;2;18:00;1.0;0.56;0.0;2.5;27.2
83967;-51.17472221;-30.05361111;30/03/2017;3;00:00;1.0;0.75;0.0;2.3;21.0
83967;-51.17472221;-30.05361111;30/03/2017;3;12:00;1.0;0.67;0.0;1.8;23.7
83967;-51.17472221;-30.05361111;30/03/2017;3;18:00;1.0;0.52;0.0;1.9;27.5
83967;-51.17472221;-30.05361111;31/03/2017;4;00:00;1.0;0.83;0.0;2.2;20.1
83967;-51.17472221;-30.05361111;31/03/2017;4;12:00;1.0;0.63;0.0;2.5;22.8
83967;-51.17472221;-30.05361111;31/03/2017;4;18:00;1.0;0.5;0.0;3.8;27.2
83967;-51.17472221;-30.05361111;01/04/2017;5;00:00;1.0;0.75;0.0;2.8;21.0
83967;-51.17472221;-30.05361111;01/04/2017;5;12:00;1.0;0.74;0.0;3.8;22.5
